Product Name,Price (PKR),Weight,Unit,Weight_Grams,Price_Per_Gram
Catty Chins Cheese Bachat Pack 44G,59.0,44.0,g,44.0,1.3409090909090908
Cheetos Cheddar Jalapeno Crunchy 226.8 Gm,2599.0,226.8,gm,226.8,11.459435626102293
Cheetos Crunchy Chips 35.5 Gm,579.0,35.5,gm,35.5,16.309859154929576
Cheetos Flamin Hot 85gm,99.0,85.0,gm,85.0,1.1647058823529413
Cheetos Flamin Hot Crunchy 35.4 Gm,579.0,35.4,gm,35.4,16.35593220338983
Cheetos Flamin Hot Crunchy 99.2 Gm,1799.0,99.2,gm,99.2,18.13508064516129
Doritos Flamin Hot Nacho 110z,3099.0,11.0,0z,311.85,9.937469937469936
Doritos Flamin Hot Nacho Chips 92gm,1799.0,92.0,gm,92.0,19.554347826086957
Doritos Hot Salsa 300 Gm,2199.0,300.0,gm,300.0,7.33
Doritos Mild Salsa 300 Gm,2199.0,300.0,gm,300.0,7.33
Doritos Nacho Cheese 31.8 Gm,579.0,31.8,gm,31.8,18.20754716981132
Doritos Nacho Cheese 311.8 Gm,3099.0,311.8,gm,311.8,9.939063502245029
Doritos Nacho Cheese 62.2G,1189.0,62.2,g,62.2,19.115755627009644
Doritos Nacho Cheese Tortilla Chips 185 Gm,2199.0,185.0,gm,185.0,11.886486486486486
Doritos Nacho Spicy Sweet Chili 311.8G,3099.0,311.8,g,311.8,9.939063502245029
Doritos Spicy Nacho 311.8Gm,2885.0,311.8,gm,311.8,9.252726106478512
El Sabor Cheese Dip 300Gm,1499.0,300.0,gm,300.0,4.996666666666667
El Sabor Guacamole Dip 300Gm,1499.0,300.0,gm,300.0,4.996666666666667
El Sabor Hot Salsa Dip 300Gm,1499.0,300.0,gm,300.0,4.996666666666667
El Sabor Jalapeno Cheese Dip 300g,1499.0,300.0,g,300.0,4.996666666666667
El Sabor Nacho Chips Cheese 100 Gm,999.0,100.0,gm,100.0,9.99
El Sabor Nacho Chips Cheese 225Gm,1579.0,225.0,gm,225.0,7.017777777777778
El Sabor Nacho Chips Chili 100 Gm,999.0,100.0,gm,100.0,9.99
El Sabor Nacho Chips Chili 225 Gm,1499.0,225.0,gm,225.0,6.662222222222222
El Sabor Nacho Chips Jalapeno 225 Gm,1499.0,225.0,gm,225.0,6.662222222222222
El Sabor Nacho Chips Jalapeno Flavor  100gm,999.0,100.0,gm,100.0,9.99
El Sabor Nacho Chips Natural Flavor 100Gm,999.0,100.0,gm,100.0,9.99
El Sabor Nacho Chips Salted 100 Gm,999.0,100.0,gm,100.0,9.99
El Sabor Nacho Chips Salted 225 Gm,1499.0,225.0,gm,225.0,6.662222222222222
El Sabor Nacho Chips Texas Bbq 100 Gm,999.0,100.0,gm,100.0,9.99
Hunter's Hand Cooked Potato chips seasalt & black pepper 40g,379.0,40.0,g,40.0,9.475
Hunters Hand Cooked Potato Chips Sweet Chilli Chutney 40gm,379.0,40.0,gm,40.0,9.475
Italiano Fish crackers 150g,239.0,150.0,g,150.0,1.5933333333333333
Kolson Slanty Salted 25g,20.0,25.0,g,25.0,0.8
Korneez Champs Popcorn Mix Sweet And Salt 85gm,119.0,85.0,gm,85.0,1.4
Lay's Classic Potato Chips 47gm,60.0,47.0,gm,47.0,1.2765957446808511
Lays Chips Yogurt & Herb 39Gm,40.0,39.0,gm,39.0,1.0256410256410255
Lays French Cheese 67g,80.0,67.0,g,67.0,1.1940298507462686
Lays Wavy Texas BBQ 75g,80.0,75.0,g,75.0,1.0666666666666667
Mister Potato Chips Salt & Vinegar 110g,585.0,110.0,g,110.0,5.318181818181818
Munchys Sugar Crackers 300G,649.0,300.0,g,300.0,2.1633333333333336
Saroo Craker Transparent & White 100G,99.0,100.0,g,100.0,0.99
Saroo Craker Transparent Box 200G,319.0,200.0,g,200.0,1.595
Saroo Craker White Box 200G,319.0,200.0,g,200.0,1.595
Super Chef Hommos Tahina 400G,799.0,400.0,g,400.0,1.9975
Super Crisp B.B.Q Crinkled 80.1G,59.0,80.1,g,80.1,0.7365792759051186
Super Crisp Catty Chins 19Gm,30.0,19.0,gm,19.0,1.5789473684210527
Super Crisp Masala 120g,100.0,120.0,g,120.0,0.8333333333333334
Super Crisp Masala Flavour 58g,60.0,58.0,g,58.0,1.0344827586206897
Super Crisp Salted 150g,100.0,150.0,g,150.0,0.6666666666666666
